fpkmX	fpkmY	highlight	gene_short_name
ENSMUSG00000001168	1	1	FALSE	Oas1h
ENSMUSG00000001173	28.4111	26.2612	FALSE	Ocrl
ENSMUSG00000001175	2399.74	920.701	FALSE	Calm1
ENSMUSG00000001211	61.9753	25.1345	FALSE	Agpat3
ENSMUSG00000001225	2.12597	1	FALSE	Slc26a3
ENSMUSG00000001227	8.00784	13.1091	FALSE	Sema6b
ENSMUSG00000001228	1	1	FALSE	Uhrf1
ENSMUSG00000001229	8.49255	11.6224	FALSE	Dpp9
ENSMUSG00000001240	12.2994	16.316	FALSE	Ramp2
ENSMUSG00000001247	1.103253	1.119252	FALSE	Lsr
ENSMUSG00000001248	22.7107	13.7281	FALSE	Gramd1a
ENSMUSG00000001249	1.888407	1.0647361	FALSE	Hpn
ENSMUSG00000001260	1.0303848	1.811717	FALSE	Gabrg1
ENSMUSG00000001270	199.577	240.974	FALSE	Ckb
ENSMUSG00000001280	8.45682	3.56016	FALSE	Sp1
ENSMUSG00000001281	2.0204	1.348259	FALSE	Itgb7
ENSMUSG00000001285	13.1582	32.2347	FALSE	Myg1
ENSMUSG00000001288	1.41922	1.578049	FALSE	Rarg
ENSMUSG00000001289	75.3948	175.293	FALSE	Pfdn5
ENSMUSG00000001300	3.90369	16.0859	FALSE	Efnb2
ENSMUSG00000001305	2.72273	5.03014	FALSE	Rrp15
ENSMUSG00000001313	1.0351808	45.5411	FALSE	Rnd2
ENSMUSG00000001323	68.4095	71.6051	FALSE	Srr
ENSMUSG00000001333	1.0708406	1.990492	FALSE	Sync
ENSMUSG00000001334	34.7777	28.4073	FALSE	Fndc5
ENSMUSG00000001348	1	1.0450072	FALSE	Acp5
ENSMUSG00000001349	1	1.141038	FALSE	Cnn1
ENSMUSG00000001366	35.3316	65.2626	FALSE	Fbxo9
ENSMUSG00000001376	32.3418	39.8969	FALSE	Ccdc132
ENSMUSG00000001379	9.82381	4.72102	FALSE	Apbb3
ENSMUSG00000001380	20.5758	37.5655	FALSE	Hars
ENSMUSG00000001383	66.9387	76.6465	FALSE	Zmat2
ENSMUSG00000001403	1.152156	1.485131	FALSE	Ube2c
ENSMUSG00000001415	9.2682	4.98003	FALSE	Smg5
ENSMUSG00000001416	34.9688	99.2047	FALSE	Cct3
ENSMUSG00000001417	1	1	FALSE	Rhbg
ENSMUSG00000001418	48.9987	29.8201	FALSE	0610031J06Rik
ENSMUSG00000001419	254.334	49.4802	FALSE	Mef2d
ENSMUSG00000001420	1	1.219681	FALSE	Tmem79
ENSMUSG00000001424	19.9997	18.4786	FALSE	Snd1
ENSMUSG00000001435	1	4.58067	FALSE	Col18a1
ENSMUSG00000001436	3.35266	6.30974	FALSE	Slc19a1
ENSMUSG00000001440	31.2232	43.5662	FALSE	Kpnb1
ENSMUSG00000001441	56.8401	59.3915	FALSE	Npepps
ENSMUSG00000001444	2.86279	1	FALSE	Tbx21
ENSMUSG00000001445	26.3769	14.7692	FALSE	Mrpl10
ENSMUSG00000001467	4.49771	16.2049	FALSE	Cyp51
ENSMUSG00000001472	113.213	237.69	FALSE	Tcf25
ENSMUSG00000001473	1.524678	1.819995	FALSE	Tubb6
ENSMUSG00000001482	3.0975	5.93237	FALSE	Def8
ENSMUSG00000001493	1	1.410623	FALSE	Meox1
ENSMUSG00000001494	1	1	FALSE	Sost
ENSMUSG00000001496	1.0731752	1.0173089	FALSE	Nkx2-1
ENSMUSG00000001497	1	1	FALSE	Pax9
ENSMUSG00000001504	1	1	FALSE	Irx2
ENSMUSG00000001506	1.0965218	1.0128	FALSE	Col1a1
ENSMUSG00000001507	1.886026	9.47494	FALSE	Itga3
ENSMUSG00000001508	1	1	FALSE	Sgca
ENSMUSG00000001510	1	1.00589997	FALSE	Dlx3
ENSMUSG00000001517	2.63108	1.395842	FALSE	Foxm1
ENSMUSG00000001518	3.08682	3.48799	FALSE	Itfg2
ENSMUSG00000001520	9.61459	3.59421	FALSE	Nrip2
